0.0000		0.0000		0.0000
-0.0005		0.0001		0.3144
0.0010		-0.0008		0.6884
0.0008		-0.0000		0.4867
0.0036		-0.0007		0.4539
0.0002		0.0013		0.6982
-0.0001		0.0008		0.9311
-0.0001		0.0020		0.6903
-0.0000		0.0019		0.1040
-0.0006		0.0008		-0.2491
-0.0009		-0.0011		-0.2803
-0.0011		-0.0008		-0.0318
-0.0007		-0.0018		-0.4357
-0.0019		-0.0016		-0.4374
-0.0003		-0.0013		-0.2237
0.0003		-0.0025		-0.7496
0.0007		-0.0025		-0.9852
0.0013		-0.0025		-0.6182
0.0042		-0.0026		-0.4568
0.0032		-0.0032		-0.4729
0.0037		-0.0041		-0.0763
0.0036		-0.0045		-0.4731
0.0033		-0.0039		-0.3751
0.0042		-0.0042		-0.2658
0.0048		-0.0046		-0.5487
0.0036		-0.0041		-0.4158
0.0045		-0.0013		-0.6698
0.0034		-0.0008		-0.9652
0.0020		-0.0017		-1.0638
0.0026		-0.0006		-0.9969
